EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,RULING_YEAR,NTEE_NAME,CLUSTER_KMEANS
820474282,SECOND JUDICIAL DISTRICT CASA PROGRAM INC,% JIM KLUSS,1229 MAIN ST STE 101,LEWISTON,ID,83501-6901,0,3,3,1000,1996-07-01,1,15,994559000,1,1,202206.0,4,4,1,0,6,289168.0,306653.0,295552.0,R200,,1996.0,"Civil Rights, Social Action & Advocacy",0
820785167,AI-TAIWAN,% JACK CHEN,671 S JACKSON ST STE 201,SEATTLE,WA,98104-2927,0,3,3,1000,2017-03-01,1,15,0,1,1,201912.0,0,0,2,0,12,0.0,0.0,0.0,R30,,2017.0,"Civil Rights, Social Action & Advocacy",0
820823889,STUNTZ MYCOLOGY FUND,% JOANNE YOUNG,6518 WOODLAWN AVE N,SEATTLE,WA,98103-5428,0,3,3,1000,2017-08-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C12,,2017.0,Environment,0
821064343,COLUMBIA WATERSHED ENVIRONMENTAL ADVOCATES INC,% CORDELL STILES,10270 SW BOONES FERRY RD,PORTLAND,OR,97219-7718,0,3,3,1280,2017-04-01,1,15,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,C99,,2017.0,Environment,0
821310034,CARBON WASHINGTON FOUNDATION,,PO BOX 85565,SEATTLE,WA,98145-1565,0,3,3,1200,2018-03-01,1,15,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C05,CARBONWA,2018.0,Environment,0
821432788,COASTAL GEORGIA CAMELLIA SOCIETY INC,% ELMORE HOWARD HACKNEY JR,7 CANEBRAKE RD,SAVANNAH,GA,31419-9299,0,3,3,2000,2018-05-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C42,,2018.0,Environment,0
821626266,OPEN NW,% JESSICA,PO BOX 33556,PORTLAND,OR,97292-3556,0,3,3,1237,2017-06-01,1,16,0,5,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R01,,2017.0,"Civil Rights, Social Action & Advocacy",0
821649239,SEATTLE INDIVISIBLE,,PO BOX 22164,SEATTLE,WA,98122-0164,0,4,3,3000,2019-09-01,2,0,0,5,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,R40,,2019.0,"Civil Rights, Social Action & Advocacy",0
821747112,DRIVE ELECTRIC WASHINGTON,,110 PREFONTAINE PL S STE 304,SEATTLE,WA,98104-5161,0,3,3,1200,2017-06-01,1,15,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C05,,2017.0,Environment,0
821890873,BLUEPRINT KANSAS INC,,PO BOX 47413,WICHITA,KS,67201-7413,0,3,3,1000,2018-01-01,1,15,0,1,1,202112.0,3,3,1,0,12,75155.0,50218.0,50218.0,R40,,2018.0,"Civil Rights, Social Action & Advocacy",0
822215640,WOMENS EMPOWERMENT COALITION,% CARE OF JENNY CLARK,3425 NE 48TH AVE,PORTLAND,OR,97213-1840,0,3,3,1000,2017-08-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R24,,2017.0,"Civil Rights, Social Action & Advocacy",0
822476711,VAN VEEN HERITAGE GARDEN,% MICHAEL STEWART,PO BOX 86424,PORTLAND,OR,97286-0424,0,3,3,2000,2019-09-01,1,15,0,1,1,202206.0,4,4,1,0,6,217838.0,108495.0,108495.0,C41,,2019.0,Environment,0
822838257,UTOPIA PDX - UNITED TERRITORIES OF PACIFIC ISLANDERS ALLIANCE PORTLAN,% MANUMALO ALAILIMA,1611 SE 87TH AVE,PORTLAND,OR,97216-1807,0,3,3,1230,2018-04-01,1,16,0,1,1,202203.0,5,6,1,0,3,596084.0,1396358.0,1396358.0,R26,UTOPIA PDX,2018.0,"Civil Rights, Social Action & Advocacy",0
822963643,NEW PORTLAND FOUNDATION,% RONAULT CATALANI,PO BOX 8855,PORTLAND,OR,97207-8855,0,3,3,2000,2021-05-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R20,,2021.0,"Civil Rights, Social Action & Advocacy",0
823017673,MISSION RECONCILE,,PO BOX 19301,NEW ORLEANS,LA,70179-0301,0,3,3,7000,2018-05-01,1,15,0,1,1,202212.0,3,2,2,0,12,26345.0,21200.0,21200.0,R30,,2018.0,"Civil Rights, Social Action & Advocacy",0
823159079,TANAN ENITADEG,,11020 LOTUS PL S,SEATTLE,WA,98178-3213,0,3,3,1000,2020-02-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C32,,2020.0,Environment,0
823173472,GOODLAND INSTITUTE,% JESSICA ST JOHN,2306 SW MARKET STREET DR,PORTLAND,OR,97201-2494,0,3,3,1000,2021-04-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C05,,2021.0,Environment,0
823278490,350 NEW ORLEANS INC,% ALICIA COOKE,1632 8TH ST,NEW ORLEANS,LA,70115-4408,0,3,3,1200,2018-02-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C01,350 NEW ORLEANS,2018.0,Environment,0
823282985,LOOPTFOUNDATION,% CATHERINE HEBERT,2410 SE 11TH AVE,PORTLAND,OR,97214-5308,0,3,3,1000,2018-05-01,1,15,0,1,1,202112.0,3,8,1,0,12,56493.0,16408583.0,16408583.0,C27,,2018.0,Environment,0
823412020,OREGON BUSINESS ALLIANCE FOR CLIMATE,% NANCY HAMILTON,2538 NW THURMAN ST APT 305,PORTLAND,OR,97210-2784,0,4,3,3000,2019-09-01,2,0,0,1,1,202207.0,2,3,2,0,7,18317.0,36781.0,36781.0,C20,,2019.0,Environment,0
823466699,WATER WISE GULF SOUTH,,1836 VALENCE ST,NEW ORLEANS,LA,70115-5554,0,3,3,2000,2019-01-01,1,15,0,1,1,202112.0,2,4,1,0,12,21156.0,146612.0,146612.0,C60,,2019.0,Environment,0
823552930,SAVANNAH CHATHAM SUSTAINABILITY COALITION LTD,,304 W 41ST ST,SAVANNAH,GA,31401-8822,0,3,3,1200,2018-06-01,1,15,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,C30,,2018.0,Environment,0
823620433,VETERANS MEMORIAL WALKWAY,% TIM SUTHERLAND,PO BOX 4031,WICHITA,KS,67204-0031,0,3,3,1000,2018-10-01,1,15,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C50,,2018.0,Environment,0
824373525,ENDING CLERGY ABUSE USA,% TIMOTHY LAW,5017 37TH AVE SW,SEATTLE,WA,98126-2810,0,3,3,1000,2018-03-01,1,16,0,1,1,202112.0,1,3,1,0,12,4150.0,62753.0,62753.0,R99,,2018.0,"Civil Rights, Social Action & Advocacy",0
824469281,PROJECT PILGRIMAGE,,1408 18TH AVE,SEATTLE,WA,98122-4126,0,3,3,1000,2018-08-01,1,15,0,1,1,202212.0,6,4,1,0,12,1037251.0,161429.0,161429.0,R20,,2018.0,"Civil Rights, Social Action & Advocacy",0
824646592,SFMA MARKET ASSOCIATION,% ACCMAN INC,5315 22ND AVE NW,SEATTLE,WA,98107-4016,0,3,3,1200,2018-06-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C60,SFMA,2018.0,Environment,0
824860509,OLMSTED-FAIRVIEW PARK COMISSION,,2350 MINOR AVE E,SEATTLE,WA,98102-3308,0,3,3,1280,2018-04-01,1,15,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,C99,,2018.0,Environment,0
825023412,SENSORBOT,% CHRISTOPHER EYKAMP,2101 SE TIBBETTS ST,PORTLAND,OR,97202-2147,0,3,3,2680,2018-05-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C01,,2018.0,Environment,0
825038571,CASCADIA MEDIA LAB,% PAUL,PO BOX 5633,PORTLAND,OR,97228-5633,0,3,3,2000,2019-03-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2019.0,Environment,0
825056975,DIVERSITY CENTER OF WASHINGTON,,6544 FAUNTLEROY WAY SW,SEATTLE,WA,98136-1705,0,3,3,1000,2019-02-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R99,DIVERSITY CENTER OF SEATTLE,2019.0,"Civil Rights, Social Action & Advocacy",0
825095846,JUST STRATEGIES,% LEEANN HALL,3518 S EDMUNDS ST,SEATTLE,WA,98118-1727,0,4,3,3000,2018-12-01,2,0,0,5,1,202112.0,5,5,1,0,12,514180.0,534974.0,534974.0,R01,,2018.0,"Civil Rights, Social Action & Advocacy",0
825179102,PIZZA TO THE POLLS,% SCOTT DUNCOMBE,225 NE WYGANT STREET,PORTLAND,OR,97211-3279,0,3,3,1000,2022-03-01,1,15,0,1,1,202212.0,4,5,1,0,12,442190.0,840062.0,816853.0,R40,,2022.0,"Civil Rights, Social Action & Advocacy",0
825225438,BEYOND BLACK,% ANTHONY BRADLEY,465 NE 181ST AVE 426,PORTLAND,OR,97230-6660,0,3,3,1000,2019-09-01,1,15,0,1,1,201912.0,1,4,1,0,12,7324.0,140438.0,140438.0,R22,,2019.0,"Civil Rights, Social Action & Advocacy",0
825365604,CLIMATE CARAVAN,% BONNIE LEI,1709 DEXTER AVE N UNIT A,SEATTLE,WA,98109-3022,0,3,3,2800,2018-05-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2018.0,Environment,0
825394662,SEAHORSES INC,,2138 NE HANCOCK ST,PORTLAND,OR,97212-4739,0,3,3,1200,2019-04-01,1,16,0,1,1,201912.0,0,0,2,0,12,0.0,0.0,0.0,R01,,2019.0,"Civil Rights, Social Action & Advocacy",0
830584155,CLEAN WASHINGTON WATERS,% MARK GREY,2501 N NORTHLAKE WAY,SEATTLE,WA,98103-9189,0,3,3,1000,2019-03-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C32,,2019.0,Environment,0
830781079,IMAGINE BLACK,% JOY ALISE DAVIS,PO BOX 11869,PORTLAND,OR,97211-0869,0,4,3,3000,2019-09-01,2,0,0,5,1,202006.0,4,4,1,0,6,172730.0,207302.0,207189.0,R99,,2019.0,"Civil Rights, Social Action & Advocacy",0
830817739,GLOBAL WATER LABS,% KATYA CHERUKUMILL,1824A 24TH AVE,SEATTLE,WA,98122-3057,0,3,3,1000,2020-06-01,1,15,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C32,,2020.0,Environment,0
830909798,BUILDING POWER FOR COMMUNITIES OF COLOR,,221 NW 2ND AVE STE 303,PORTLAND,OR,97209-3961,0,4,3,3000,2019-07-01,2,0,0,5,1,202206.0,4,4,1,0,6,493465.0,333814.0,333814.0,R22,,2019.0,"Civil Rights, Social Action & Advocacy",0
831183815,DUKES SUSTAINABLE SOLUTIONS FOUNDATION,,7858 GREEN LAKE DR N,SEATTLE,WA,98103-4862,0,4,3,3000,2019-05-01,2,0,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C01,,2019.0,Environment,0
831280323,AACT WORLDWIDE INC,,100 SE THIRD AVENUE - FLOOR 10,FORT LAUDERDALE,FL,33394-0002,0,3,3,1000,2022-11-01,1,16,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,R23,,2022.0,"Civil Rights, Social Action & Advocacy",0
831294046,ROWAN INSTITUTE,% SARAH MYHRE,1140 18TH AVE C302,SEATTLE,WA,98122-4776,0,3,3,1238,2019-05-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C01,,2019.0,Environment,0
831329214,LONGLEAF CONSERVANCY INC,,112 MODENA ISLAND DR,SAVANNAH,GA,31411-1008,0,3,3,1200,2018-08-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C36,,2018.0,Environment,0
831332402,NATIONAL MEN FOR LIFE,% TJ BURGESS,200 ALLEN TOUSSAINT BLVD,NEW ORLEANS,LA,70124-2537,0,3,3,1200,2018-08-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R62,,2018.0,"Civil Rights, Social Action & Advocacy",0
831638344,WASHINGTON MARITIME BLUE,% JOSHUA BERGER,1900 W NICKERSON ST STE 301,SEATTLE,WA,98119-1650,0,3,3,1000,2020-04-01,1,16,0,1,1,202206.0,5,6,1,0,6,523019.0,2195226.0,2195226.0,C02,,2020.0,Environment,0
831843221,WORD IS BOND,% LAKAYANA DRURY,522 NW 23RD AVE STE J,PORTLAND,OR,97210-3840,0,3,3,2000,2019-06-01,1,15,0,1,1,202206.0,4,4,1,0,6,290049.0,283236.0,283236.0,R30,,2019.0,"Civil Rights, Social Action & Advocacy",0
832006002,PDXPELLIARMUS,% BAS PORTER,701 NE 28TH AVE APT 33,PORTLAND,OR,97232-2484,0,3,3,1000,2018-10-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R01,,2018.0,"Civil Rights, Social Action & Advocacy",0
832426653,SUSTAINING OUR URBAN LANDSCAPE SOUL,,130 S TELEMACHUS ST,NEW ORLEANS,LA,70119-6135,0,3,3,1000,2019-11-01,1,15,0,1,1,202203.0,5,5,1,0,3,758243.0,600147.0,600147.0,C11,SOUL,2019.0,Environment,0
832511340,POWER COALITION FOR EQUITY AND JUSTICE,% ASHLEY SHELTON,4930 WASHINGTON AVE SUITE E,NEW ORLEANS,LA,70125-1132,0,3,3,1200,2022-06-01,1,15,0,1,1,202112.0,5,5,1,0,12,981069.0,982923.0,982923.0,R01,,2022.0,"Civil Rights, Social Action & Advocacy",0
832588707,CLIMATE JUSTICE INITIATIVE,% KARLA BROLLIER,1514 BELLEVUE AVE APT 702,SEATTLE,WA,98122-3679,0,3,3,1200,2018-12-01,1,16,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2018.0,Environment,0
832727724,ADOPT ONE BLOCK,,2222 NW HOYT ST APT 302,PORTLAND,OR,97210-3293,0,3,3,1000,2019-02-01,1,15,0,1,1,202112.0,4,5,1,0,12,238174.0,523051.0,523051.0,C50,,2019.0,Environment,0
832856882,INSIDE PASSAGE DECARBONIZATION PROJECT INC,,173 NE BRIDGETON RD SLIP 5,PORTLAND,OR,97211-1074,0,3,3,1200,2019-02-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2019.0,Environment,0
833116152,CCKC4 INC,% KARA WORTHINGTON,PO BOX 5004,WICHITA,KS,67201-5004,0,4,3,3000,2020-05-01,2,0,0,1,1,202112.0,9,9,1,0,12,1278082464.0,70302958.0,69570660.0,R99,,2020.0,"Civil Rights, Social Action & Advocacy",2
833765623,CRESCENT CITY LEATHERMEN OF NEW ORLEANS LOUISIANA INC,% CRESCENT CITY LEATHERMEN,941 ELYSIAN FIELDS AVE,NEW ORLEANS,LA,70117-8535,0,3,3,1000,2019-04-01,1,16,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,R20,CCL,2019.0,"Civil Rights, Social Action & Advocacy",0
833806865,MINIDOKA PILGRIMAGE,% DALE H WATANABE,3114 22ND AVE S,SEATTLE,WA,98144-6404,0,3,3,1000,2019-05-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R30,,2019.0,"Civil Rights, Social Action & Advocacy",0
833868196,HONEY BEE SOCIETY,% IAN HORVATH SKAN,PO BOX 20693,PORTLAND,OR,97294-0693,0,3,3,1200,2019-04-01,1,16,0,1,1,202212.0,1,1,2,0,12,5228.0,4606.0,4606.0,C60,,2019.0,Environment,0
834163948,LAGNIAPPE LAW LAB,% AMANDA BROWN,1615 POYDRAS ST STE 1000,NEW ORLEANS,LA,70112-1247,0,3,3,1000,2019-08-01,1,15,0,1,1,202206.0,3,4,1,0,6,61321.0,214377.0,214377.0,R60,,2019.0,"Civil Rights, Social Action & Advocacy",0
834335546,OREGON SOLAR ENERGY EDUCATION FUND,% ANGELA CROWLEY KOCH,PO BOX 14927,PORTLAND,OR,97293-0927,0,3,3,1200,2019-10-01,1,15,0,1,1,202112.0,3,3,1,0,12,49497.0,65371.0,65371.0,C34,,2019.0,Environment,0
834511520,LITTLE ARKANSAS COMMUNITY COALITION FUND,% BETH HARSHFIELD,326 N ATHENIAN AVE,WICHITA,KS,67203-5737,0,3,3,1000,2019-06-01,1,15,0,1,1,202204.0,0,0,2,0,4,0.0,0.0,0.0,C01,,2019.0,Environment,0
834524429,PLANT THE PEACE CORPORATION,,2039 CALHOUN ST,NEW ORLEANS,LA,70118-6221,0,3,3,1200,2019-09-01,1,16,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C99,,2019.0,Environment,0
834536424,PARKING REFORM NETWORK,% TONY JORDAN,4540 SE YAMHILL ST,PORTLAND,OR,97215-2465,0,3,3,2000,2019-10-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2019.0,Environment,0
841748916,COREANA CONNECT,% ANDRAY ABRAHAMIAN,8205 15TH AVE NE,SEATTLE,WA,98115-4339,0,3,3,1000,2019-09-01,1,16,0,1,1,202012.0,0,0,2,0,12,0.0,0.0,0.0,R24,,2019.0,"Civil Rights, Social Action & Advocacy",0
841839692,GROUNDS KREWE NOLA INC,,3962 MAGAZINE ST,NEW ORLEANS,LA,70115-2664,0,3,3,1000,2019-06-01,1,15,0,1,1,202212.0,4,4,1,0,12,338110.0,132194.0,103309.0,C99,,2019.0,Environment,0
841942667,CONSCIOUS GROWTH,% ASHLEY BONN,4905 SE SHERMAN ST,PORTLAND,OR,97215-3850,0,3,3,1280,2020-02-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C30,,2020.0,Environment,0
841950389,SLAVIC VOTE,,PO BOX 86769,PORTLAND,OR,97286-0769,0,3,3,1000,2021-02-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R40,,2021.0,"Civil Rights, Social Action & Advocacy",0
842481021,MISSION RESOLVE FOUNDATION INC,,1510 SE 17TH STREET,FORT LAUDERDALE,FL,33316-1729,0,3,3,2000,2019-10-01,1,15,0,1,1,202212.0,1,1,2,0,12,4391.0,5056.0,5056.0,C60,,2019.0,Environment,0
842485855,RBAW MARINE PARKS CONSERVANCY,% STEVE GREAVES,PO BOX 17591,SEATTLE,WA,98127-1269,0,3,3,1000,2020-05-01,1,15,0,1,1,202112.0,3,1,2,0,12,55117.0,8850.0,8850.0,C30,,2020.0,Environment,0
842727715,BUILDING TRANSPARENCY,% STACY SMEDLEY,3216 W BERTONA ST,SEATTLE,WA,98199-1665,0,3,3,1200,2020-11-01,1,15,0,1,1,202112.0,0,5,1,0,12,0.0,832241.0,832241.0,C20,EC3,2020.0,Environment,0
843054114,INTERNATIONAL NETWORK FOR THE REDUCTION OF ABORTION DISCRIMINATI,,4412 CALIFORNIA AVE SW UNIT 16799,SEATTLE,WA,98116-0837,0,3,3,2000,2020-04-01,1,15,0,1,1,202112.0,5,4,1,0,12,727656.0,205675.0,205675.0,R61,,2020.0,"Civil Rights, Social Action & Advocacy",0
843224211,WAVE FOUNDATION,% JUSTIN ZEULNER,13015 NE MORRIS CT,PORTLAND,OR,97230-1745,0,3,3,1200,2021-03-01,1,15,0,1,1,202112.0,4,6,1,0,12,200487.0,1071113.0,1071113.0,C60,,2021.0,Environment,0
843282699,OLD TOWN COMMUNITY ASSOCIATION,% HELEN YING,220 NW 2ND AVE STE 104,PORTLAND,OR,97209-3944,0,3,3,1200,2020-01-01,1,15,0,1,1,202206.0,3,4,1,0,6,89871.0,267789.0,267789.0,C99,,2020.0,Environment,0
843336800,FRONT AND CENTERED,% MELINA RIVERA,1501 E MADISON ST STE 250,SEATTLE,WA,98122-4474,0,3,3,1000,2020-02-01,1,15,0,1,1,202112.0,6,6,1,0,12,1739945.0,1810196.0,1810196.0,C99,,2020.0,Environment,0
843456916,CENTER FOR EQUITABLE POLICY IN A CHANGING WORLD,,4200 WOODLAND PARK AVE N,SEATTLE,WA,98103-7425,0,3,3,2800,2020-01-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R05,,2020.0,"Civil Rights, Social Action & Advocacy",0
843504750,OPPORTUNITY 2 RESTORE,% ANNIE PHOENIX,1450 POYDRAS ST SUITE 2260,NEW ORLEANS,LA,70112-1227,0,4,3,3000,2020-02-01,2,0,0,1,1,202112.0,4,4,1,0,12,209030.0,265399.0,265399.0,R20,,2020.0,"Civil Rights, Social Action & Advocacy",0
843702899,WOMENS FOUNDATION OF THE SOUTH,% CARMEN JAMES RANDOLPH,401 SAINT JOSEPH ST STE 2A,NEW ORLEANS,LA,70130-3734,0,3,3,1200,2021-01-01,1,16,0,1,1,202112.0,6,6,1,0,12,1172341.0,1793478.0,1793478.0,R24,,2021.0,"Civil Rights, Social Action & Advocacy",0
843716124,EMERALD CITY SISTERS,% SCOTT A SULLIVAN,1425 E MAPLE ST,WICHITA,KS,67213-0000,0,3,3,1000,2020-03-01,1,16,0,1,1,202212.0,1,1,2,0,12,1598.0,1598.0,1598.0,R01,,2020.0,"Civil Rights, Social Action & Advocacy",0
843754161,FAIR DISTRICTS LOUISIANA,% EVAN BERGERON,1700 JOSEPHINE ST,NEW ORLEANS,LA,70113-1522,0,4,3,3000,2021-06-01,2,0,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,R99,,2021.0,"Civil Rights, Social Action & Advocacy",0
843880115,POWER COALITION FOR ELECTORAL JUSTICE,% ASHLEY K SHELTON,4930 WASHINGTON AVE,NEW ORLEANS,LA,70125-1132,0,4,3,3000,2022-09-01,2,0,0,1,1,201912.0,1,0,2,0,12,1.0,0.0,0.0,R01,,2022.0,"Civil Rights, Social Action & Advocacy",0
844081002,COMMUNITY EDUCATION AND OUTREACH OPERATIONS,% RC BROCK,1920 LAW ST,NEW ORLEANS,LA,70119-1313,0,4,3,3000,2020-05-01,2,0,0,5,1,201912.0,0,0,2,0,12,0.0,0.0,0.0,R20,,2020.0,"Civil Rights, Social Action & Advocacy",0
844205773,E PLURIBUS UNUM INSTITUTE,% SCOTT HUTCHESON,1055 ST CHARLES AVE SUITE 300,NEW ORLEANS,LA,70130-3944,0,3,3,1000,2022-04-01,1,16,0,1,1,202112.0,4,6,1,0,12,442730.0,3118549.0,3118549.0,R20,,2022.0,"Civil Rights, Social Action & Advocacy",0
844535065,PORTLAND BOTANICAL GARDENS,,PO BOX 82288,PORTLAND,OR,97282-0288,0,3,3,2000,2020-12-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C41,,2020.0,Environment,0
844677432,SAILORS AGAINST LITTER INC,% JOHN LOVELL,300 BOARD OF TRADE PL,NEW ORLEANS,LA,70130-2431,0,3,3,1700,2020-07-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C32,,2020.0,Environment,0
844700233,AMERICAN LANDS PROJECT,% JOHN DALY,1904 3RD AVE STE 406,SEATTLE,WA,98101-1153,0,3,3,1000,2020-10-01,1,15,0,1,1,202112.0,3,4,1,0,12,84438.0,250000.0,250000.0,C30,,2020.0,Environment,0
850488807,NOLA TREE PROJECT,,5701 CANAL BLVD,NEW ORLEANS,LA,70124-2814,0,3,3,1000,2006-07-01,1,15,0,1,1,202212.0,4,4,1,0,12,339578.0,290188.0,290188.0,C11,,2006.0,Environment,0
850521545,FRIENDS OF HAP INC,,527 STEPHENSON AVE SUITE A3,SAVANNAH,GA,31405-5923,0,3,3,1278,2020-04-01,1,15,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,C12,,2020.0,Environment,0
850522617,OREGON MAPLE PROJECT,% ELIZA NELSON,3745 SE MAIN ST,PORTLAND,OR,97214-5110,0,3,3,2000,2020-04-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C60,,2020.0,Environment,0
850645449,MIZU,,PO BOX 14550,PORTLAND,OR,97293-0550,0,3,3,1260,2020-10-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C32,,2020.0,Environment,0
850706274,WAKE,% ELIZABETH DUNNEBACKE,3713 N RAMPART ST,NEW ORLEANS,LA,70117-5743,0,3,3,1000,2020-10-01,1,15,0,1,1,202206.0,0,0,2,0,6,0.0,0.0,0.0,C99,,2020.0,Environment,0
851023883,NET IMPACT SEATTLE PROFESSIONAL CHAPTER,% DANIEL PULSE,1457 NW 87TH ST,SEATTLE,WA,98117-3508,0,3,3,1000,2021-05-01,1,15,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C03,,2021.0,Environment,0
851037488,BEYOND THESE WALLS,% ERICH PITCHER,PO BOX 13006,PORTLAND,OR,97213-0006,0,3,3,1200,2022-03-01,1,15,0,1,1,202212.0,3,4,1,0,12,70879.0,149185.0,149185.0,R20,,2022.0,"Civil Rights, Social Action & Advocacy",0
851061102,STEP UP LOUISIANA ORGANIZING FUND,,2022 SAINT BERNARD AVE 124B,NEW ORLEANS,LA,70116-1319,0,3,3,1000,2021-04-01,1,15,0,1,1,202112.0,5,5,1,0,12,620416.0,992540.0,992540.0,R22,,2021.0,"Civil Rights, Social Action & Advocacy",0
851129350,INSTITUTE FOR ENHANCED EQUITY,,PO BOX 52319,NEW ORLEANS,LA,70152-2319,0,3,3,1000,2022-02-01,1,15,0,1,1,202112.0,0,0,2,0,12,0.0,0.0,0.0,R22,,2022.0,"Civil Rights, Social Action & Advocacy",0
851336293,SUNSET HIGH SCHOOL CLASS OF 1993 EQUITY FUND,% ADAM BRITTLE,PO BOX 19475,PORTLAND,OR,97280-0475,0,3,3,1000,2020-07-01,1,16,0,1,1,202206.0,0,0,2,0,6,0.0,0.0,0.0,R20,,2020.0,"Civil Rights, Social Action & Advocacy",0
851403923,OUR STREETS PDX,,7309 N ALTA AVE,PORTLAND,OR,97203-4807,0,3,3,1200,2020-07-01,1,15,0,1,1,202206.0,4,6,1,0,6,159182.0,1016506.0,1016506.0,C01,,2020.0,Environment,0
851407007,SEATTLE OUT & PROUD FOUNDATION,,600 1ST AVE SUITE 300-D,SEATTLE,WA,98104-2210,0,3,3,2000,2020-09-01,1,15,0,1,1,202208.0,0,0,2,0,8,0.0,0.0,0.0,R26,,2020.0,"Civil Rights, Social Action & Advocacy",0
851412736,OREGON ASSOCIATION OF BLACK SOCIAL WORKERS,% RACHAEL A JACKSON,8401 NE HALSEY ST,PORTLAND,OR,97220-5670,0,3,3,1200,2022-05-01,1,16,0,1,1,202206.0,0,0,2,0,6,0.0,0.0,0.0,R20,,2022.0,"Civil Rights, Social Action & Advocacy",0
851672638,TREE-MEND-US LOVE,,PO BOX 24528,NEW ORLEANS,LA,70184-4528,0,3,3,1000,2021-02-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C40,,2021.0,Environment,0
851936629,GLASSROOTS,% FRANZISKA TRAUTMANN,3935 LOUISA ST,NEW ORLEANS,LA,70126-5515,0,3,3,1200,2020-09-01,1,16,0,1,1,202207.0,0,0,2,0,7,0.0,0.0,0.0,C27,,2020.0,Environment,0
852100120,MAGIC CANOE,,PO BOX 5485,PORTLAND,OR,97228-5485,0,3,3,1200,2020-11-01,1,15,0,1,1,202212.0,4,4,1,0,12,260370.0,178002.0,178002.0,C01,,2020.0,Environment,0
852212051,SPHERE ONE,% EDWIN NGUGI,9520 ROOSEVELT WAY NE,SEATTLE,WA,98115-2234,0,3,3,1200,2020-11-01,1,16,0,1,1,202212.0,0,0,2,0,12,0.0,0.0,0.0,C35,,2020.0,Environment,0
